,0,1,2,3,4,5,6,7,8,9
SS Loadings,3.329807395935241,2.5156815064518883,1.1304023614067735,0.7420406846107228,0.6986336734760973,0.2518766260240162,0.17373104203865325,0.1328978212501288,0.04766556493301892,0.0
Proportion Var,0.33298073959352414,0.25156815064518884,0.11304023614067735,0.07420406846107228,0.06986336734760973,0.02518766260240162,0.017373104203865324,0.01328978212501288,0.004766556493301892,0.0
Cumulative Var,0.33298073959352414,0.584548890238713,0.6975891263793904,0.7717931948404627,0.8416565621880725,0.8668442247904741,0.8842173289943394,0.8975071111193522,0.9022736676126542,0.9022736676126542
