,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10
0,0.8955898621467894,0.24297241130947853,0.10047061170995687,-0.024062928461998707,0.08420697971677917,-0.03360694488973785,-0.029681555073390174,0.01862020239990531,0.11792906728867479,0.0
1,0.7950441853386355,0.31918203458648176,0.10323053806244112,-0.1527413501164021,0.07215393853579558,0.3566654055516696,-0.06082983452628607,0.06521220408642857,-0.0028280188914392786,0.0
2,0.3316979247960856,0.8060177485902412,0.16239630979634884,-0.015252132317562807,-0.0524060890137563,-0.08033356326649171,-0.020480489991119014,0.0016110674374709432,-0.008489037903641144,0.0
3,0.710103399906151,0.4120721814990883,0.23002106713712792,0.00991655792132782,-0.12750156560352688,-0.021349358729798998,0.20836273397413413,-0.031239235455518488,-0.0024474087405991574,0.0
4,0.843810325994898,0.19928995118979254,0.13016039013773653,0.1489860843614633,-0.12480952779909647,-0.02651210375745182,-0.014245663746810277,-0.025549989315347417,-0.1179139203102578,0.0
5,0.11834010460620589,0.19074940342835892,0.5607216901708234,-0.07688557674167042,0.10491083876695335,0.01751722204836987,0.011094879169934867,-0.015424339017309273,-0.0021413302810606803,0.0
6,-0.013497222242968654,-0.046184872325100566,0.048473548031448876,0.0862551879278317,0.4653919328697635,0.0027313396119546243,-0.0026174735239955648,-0.0013429781702702173,0.0016857733264791946,0.0
7,0.29974381348470763,0.6682128595178993,0.5062161222289211,0.11678146776656718,-0.16745683405409584,0.012745009675306448,-0.04781233376212601,0.1836421240931647,0.015622616307203126,0.0
8,0.00858586446096595,0.03371899419563276,-0.0395572635377024,0.5220491419434511,0.09386280850564556,-0.003340586415417223,0.0008466242573916737,0.00044231072266554824,-0.0013064147029500648,0.0
9,0.4071902832111477,0.764448474770504,0.23683460452724486,0.10940497680386142,-0.03353071935713579,0.3158118408230469,0.08856552807778514,-0.10808994434560149,0.0045125563773868805,0.0
